Words,HomoDensity,Num-Neighbors,Freq-Neighbors
暗想,1,12,5639
乖僻,1,3,244
菊花茶,1,0,0
"膦, 吝, 赁",3,305,7173868
乡野,1,10,3643
一百六十万,1,0,0
专区,1,15,4019
耳鼓,1,7,1491
一览表,1,0,0
"迅疾, 迅即",2,25,6890
拿人,1,26,34181
作乱,1,32,17129
成虫,1,18,17041
题解,1,7,3671
"珠珠, 蛛蛛, 朱朱",3,3,976
敌区,1,11,2157
人云亦云,1,0,0
面神经,1,0,0
中演,1,16,3257
自上而下,1,0,0
田鸡,1,15,6319
成灾,1,14,9555
正数,1,38,30191
引言,1,9,5906
大舅子,1,2,222
圣马力诺,1,0,0
访友,1,8,40785
远眺,1,6,436
开盘,1,14,3901
炊具,1,14,6674
油腻腻,1,0,0
承受力,1,0,0
批发价,1,0,0
肯尼亚人,1,0,0
买者,1,5,2820
赔偿费,1,0,0
定位球,1,0,0
精益求精,1,0,0
书屋,1,8,593
社会学家,1,0,0
健步,1,44,29881
进言,1,19,17707
吃水,1,8,1726
军区,1,14,2537
本轮,1,9,6049
画片,1,20,13076
笔墨,1,15,12892
务农,1,1,800
死海,1,6,2671
讨巧,1,2,230
鄙夷,1,7,5610
衣被,1,51,122497
二点,1,23,5707
遗落,1,18,8907
硝烟弥漫,1,0,0
面点,1,22,5918
生铁,1,10,2194
苗族,1,5,943
色彩斑斓,1,0,0
凑数,1,19,5810
靠手,1,22,9542
牛棚,1,4,629
校训,1,11,3654
追回,1,8,2692
遗恨,1,15,8010
乌拉圭,1,0,0
陆一,1,17,23035
丙醇,1,2,565
合成器,1,0,0
玻璃板,1,0,0
秋水,1,8,1726
恍如隔世,1,0,0
草籽,1,7,1334
影视圈,1,0,0
称称,1,5,1798
强将,1,23,7407
一息尚存,1,0,0
抽水机,1,0,0
滩地,1,15,12377
圆舞曲,1,0,0
接风,1,22,4044
压强,1,5,1999
睡莲,1,4,2765
汪洋,1,7,784
柔术,1,13,14192
先锋派,1,0,0
近墨者黑,1,0,0
百折不挠,1,0,0
汉文,1,5,1030
成员国,1,0,0
萨那,1,0,0
扩音机,1,2,159
推延,1,14,2894
翻看,1,5,1587
自幼,1,20,8742
劳工法,1,0,0
软椅,1,7,116807
病毒学,1,0,0
冰城,1,18,3924
坎肩,1,8,1066
妙法,1,12,11568
聚酯,1,19,11254
啾啾,1,1,129
轮岗,1,4,2280
催生,1,24,94968
票友,1,16,4085
挟制,1,27,11590
劈柴,1,1,443
甲亢,1,11,3584
斤两,1,4,16520
空勤,1,11,1577
风霜,1,9,874
空调机,1,0,0
油库,1,17,9591
久经考验,1,0,0
胎生,1,24,94968
名山,1,11,15967
语义学,1,0,0
和煦,1,14,3299
拉纤,1,3,316
"黄山, 黄杉",2,8,1571
撰稿,1,1,37
凝重,1,12,6170
特出,1,24,13857
梨花,1,8,23187
鹅毛,1,7,871
豆豉,1,3,360
敬慕,1,34,5565
总编辑,1,0,0
遗像,1,25,11141
败仗,1,10,2203
晚霞,1,6,703
皮具,1,10,2965
论理,1,23,76998
余款,1,15,4336
改判,1,11,9986
脑积水,1,0,0
世纪末,1,0,0
囚牢,1,11,1684
嘶吼,1,6,2700
印刷体,1,0,0
色谱仪,1,0,0
飞行服,1,1,608
车皮,1,9,1068
群英,1,1,50
柜门,1,8,1696
课表,1,8,4889
映入眼帘,1,0,0
沟槽,1,1,42
革除,1,10,1909
受气,1,39,15436
航船,1,13,1538
好人家,1,0,0
天年,1,20,7453
夹缝,1,3,652
气慨,1,12,2171
遮阳帽,1,0,0
本报,1,21,6359
咣当,1,8,3185
搀扶,1,13,12950
不成方圆,1,0,0
阉人,1,24,21879
青丝,1,18,16055
见仁见智,1,0,0
以色列人,1,0,0
万金,1,6,3208
出笼,1,20,26105
正文,1,14,16368
划一,1,18,23090
促进会,1,0,0
迈入,1,24,8885
热泪,1,15,2352
民愤,1,8,1187
死难,1,6,2461
旧金山湾,1,0,0
平行线,1,0,0
维修费,1,0,0
乌干达人,1,0,0
藏书楼,1,0,0
夜袭,1,12,7304
擒拿,1,1,48
明证,1,22,5876
弹簧锁,1,0,0
考评,1,9,2113
潸然泪下,1,0,0
钢化玻璃,1,0,0
笼络,1,5,1889
顽抗,1,13,12084
谱子,1,40,17067
金鸡,1,18,32999
形同虚设,1,0,0
病假条,1,0,0
风传,1,17,8763
柔性,1,17,6690
阵前,1,16,8939
阿米巴,1,0,0
童装,1,12,2654
疑义,1,46,33288
"赫伯, 贺伯, 赫博, 赫勃, 赫柏",5,2,697
真儿,1,20,7604
梯形,1,15,2448
文学界,1,0,0
铅球,1,15,10392
亚运会,1,0,0
灰质炎,1,0,0
"跟脚, 根脚",2,3,10529
诽谤案,1,0,0
泛指,1,13,8228
申述,1,34,16780
一着不慎,1,0,0
回函,1,10,28851
"斯米, 丝米",2,8,3424
实验鼠,1,0,0
载波,1,0,0
山鸡,1,20,8246
钙化,1,28,36484
管理费,1,1,37
自小,1,17,62385
嗽,1,305,7174477
官腔,1,14,20650
赦免权,1,1,743
土墩,1,1,71
聚丙烯,1,0,0
"火夫, 伙夫",2,10,3751
赤贫,1,1,738
倾覆,1,38,10812
舱面,1,14,6390
默不作声,1,0,0
该市,1,47,35628
插科打诨,1,0,0
舷窗,1,1,104
广州,1,5,2252
里程碑式,1,0,0
国际货币基金组织,1,0,0
此间,1,8,1098
缺一不可,1,0,0
失敬,1,28,21860
暗码,1,14,10410
成片,1,26,17029
拖船,1,13,2868
电报局,1,0,0
油公司,1,0,0
巴解组织,1,0,0
声威,1,13,7139
镖客,1,15,5539
售房,1,11,2054
柴郡,1,2,159
东海道,1,0,0
土丘,1,1,71
从速,1,13,5282
递补,1,18,12164
沙文主义,1,0,0
一隅,1,36,74938
古道,1,26,42798
明令,1,15,7175
紫禁城,1,0,0
注册表,1,0,0
演讲会,1,0,0
高抬贵手,1,0,0
金龟子,1,0,0
曼德尔,1,0,0
略去,1,8,34765
慢车,1,15,6062
三亿五千万,1,0,0
纤维素,1,0,0
敲锣打鼓,1,0,0
银光,1,8,3172
实为,1,49,76162
丹阳,1,14,3578
阿姐,1,5,553
九点一,1,0,0
赎身,1,13,2931
蹩脚货,1,0,0
向心力,1,0,0
水草,1,10,1839
副标题,1,0,0
水解,1,16,28353
雷达站,1,0,0
人才济济,1,0,0
黑森,1,3,975
一千亿,1,1,155
水系,1,17,4098
官吏,1,41,31174
装订机,1,0,0
后山,1,9,1391
心性,1,27,22429
与会,1,47,36440
教案,1,27,11240
何如,1,18,5172
百宝箱,1,0,0
五香,1,10,2831
施用,1,31,18914
谗言,1,14,4821
疲态,1,9,4666
"等分, 等份",2,7,2875
大喜事,1,1,58
尽心竭力,1,0,0
印行,1,22,16887
调养,1,7,1653
椰子油,1,0,0
养猪场,1,0,0
喊冤,1,0,0
赤诚,1,28,15488
一千二百万,1,0,0
隐蔽所,1,0,0
辉长岩,1,0,0
平常心,1,0,0
遏止,1,12,7988
北角,1,11,5553
恩仇,1,4,293
品红,1,8,1924
毡子,1,33,15488
艰苦奋斗,1,0,0
花岗石,1,0,0
可气,1,30,34746
使领馆,1,0,0
箱包,1,17,6596
鸭舌帽,1,0,0
满街,1,5,340
总理府,1,0,0
山野,1,6,750
倍数,1,36,11670
咯吱咯吱,1,0,0
滔天大罪,1,0,0
非难,1,9,1755
令爱,1,9,8411
果树,1,15,5260
罗致,1,18,6429
日班,1,9,3676
好声好气,1,0,0
随访,1,4,1186
后发制人,1,0,0
攀比,1,5,1443
嘟哝,1,2,396
好男儿,1,0,0
岸防,1,14,2573
龇牙咧嘴,1,0,0
"金石, 金硕",2,22,17064
公差,1,13,16734
奇景,1,10,3372
七点一,1,1,52
空战,1,18,3241
直性子,1,0,0
抒情诗,1,0,0
低三下四,1,0,0
一拥而上,1,0,0
挑动,1,21,7289
二号机,1,0,0
中班,1,18,14759
够味儿,1,0,0
高耸入云,1,0,0
祭献,1,39,42956
粉墨登场,1,0,0
原班人马,1,0,0
倾向性,1,0,0
保底,1,13,6103
好处费,1,0,0
激活剂,1,0,0
贱骨头,1,0,0
开箱,1,22,16586
老花,1,14,13454
挖土,1,1,110
花头,1,34,5696
航管,1,2,193
山雀,1,7,1213
强身健体,1,0,0
荣升,1,18,9858
苏打粉,1,0,0
如虎添翼,1,0,0
电子器件,1,0,0
宇宙空间,1,0,0
平方公里,1,0,0
求同存异,1,0,0
鼻窦,1,4,869
团体照,1,0,0
"多哥, 多戈",2,11,5276
摊主,1,5,1614
花茎,1,8,2742
胸臆,1,26,19901
沉淀物,1,0,0
补偿费,1,0,0
在教,1,21,20127
今儿个,1,0,0
疾呼,1,11,7649
观测站,1,0,0
顺服,1,17,6866
拉脱维亚,1,0,0
不均,1,24,7102
存贮,1,18,6468
纷繁,1,16,2726
嫂嫂,1,1,744
各族,1,7,5003
质变,1,25,15276
祠堂,1,7,1490
黄牌,1,9,1518
概况,1,6,2494
开路先锋,1,0,0
储蓄所,1,0,0
妃子,1,33,15488
腰板,1,5,3433
倩影,1,6,8088
三和,1,9,1036
黑白片,1,0,0
转包,1,7,1508
复合型,1,0,0
精算师,1,0,0
尚无,1,13,4597
一对对,1,0,0
合同工,1,0,0
贵贱,1,26,35774
绝缘层,1,0,0
吹管,1,9,2445
地勤,1,14,5760
体坛,1,5,551
从艺,1,34,24743
惨象,1,26,21021
独此一家,1,0,0
明晃晃,1,0,0
疥疮,1,5,317
防洪堤,1,0,0
流食,1,30,21747
冰盖,1,11,1547
列车长,1,0,0
硫黄岛,1,0,0
祖母绿,1,0,0
转子,1,59,33474
低烧,1,7,1011
出土,1,14,3925
当局者迷,1,0,0
企业界,1,0,0
义父,1,36,24033
供需,1,17,17103
铝土,1,4,2401
窝棚,1,4,196
冤狱,1,26,30680
喷壶,1,3,348
谆谆,1,0,0
破罐子破摔,1,0,0
开创性,1,0,0
学前教育,1,0,0
踝骨,1,10,1278
房地产业,1,0,0
大熊座,1,0,0
胡萝卜素,1,0,0
巨轮,1,14,6155
同时代,1,0,0
蜻蜓点水,1,0,0
清剿,1,12,13128
亲如一家,1,0,0
解困,1,8,10333
调拨,1,4,819
铁杵,1,2,152
饱尝,1,10,8469
底薪,1,16,11729
形而上学,1,0,0
交响音乐会,1,0,0
跟手,1,32,27103
修脚师,1,0,0
阁员,1,22,9054
妻妾,1,11,24229
网罗,1,5,1821
笑眯眯,1,0,0
球茎,1,10,8369
易爆,1,32,19974
众说纷纭,1,0,0
优越性,1,0,0
琉球,1,20,7598
水汪汪,1,0,0
载重,1,23,17267
十七八,1,0,0
饭堂,1,10,5465
药物学,1,0,0
缓步,1,20,7962
外罩,1,17,9871
意向书,1,0,0
过火,1,17,3146
"阳气, 洋气",2,19,3859
后半段,1,0,0
边框,1,9,2121
临盆,1,3,894
护校,1,20,5661
本本,1,3,595
受用,1,34,12544
解放战争,1,0,0
幻灯,1,4,305
客队,1,19,17838
活火山,1,0,0
驰名,1,16,2989
显明,1,11,5639
讨嫌,1,0,0
东城区,1,0,0
千夫所指,1,0,0
奔袭,1,10,14514
黑纱,1,8,2294
放胆,1,5,1816
冷光,1,6,831
逐字逐句,1,0,0
倚重,1,14,13312
才学,1,13,3290
智谋,1,15,6345
暗含,1,7,1292
西南风,1,0,0
立体派,1,0,0
乳腺,1,10,9383
助消化,1,0,0
后备军,1,0,0
咖喱粉,1,0,0
聚集一堂,1,0,0
歌会,1,21,20558
制服呢,1,0,0
搭腔,1,4,4647
边缘科学,1,0,0
谐波,1,7,1396
蒙彼利埃,1,0,0
橡皮膏,1,0,0
会阴,1,8,1466
钢刀,1,4,6569
明令禁止,1,0,0
不可抗力,1,0,0
倒手,1,21,6962
绽开,1,13,7888
"小弗, 小幅, 小福, 小伏",4,14,17772
组曲,1,9,6199
氢化物,1,0,0
激光束,1,0,0
平均数,1,0,0
誊写,1,5,1225
物产,1,8,3037
不在少数,1,0,0
守军,1,15,10711
废黜,1,21,9030
画架,1,21,4738
销售点,1,0,0
丑相,1,23,21224
如上,1,11,5321
审判者,1,0,0
翻本,1,9,12324
趣味性,1,0,0
亢进,1,20,13184
陶罐,1,14,7096
十进制,1,0,0
直体,1,15,4797
单方,1,15,16985
下笔,1,17,6184
水体,1,14,2703
丢丑,1,2,703
门店,1,11,2052
压岁钱,1,0,0
坦克车,1,0,0
考试题,1,0,0
分子生物学,1,0,0
喀麦隆,1,0,0
鸡屎,1,17,42172
二尖瓣,1,0,0
曲别针,1,0,0
工种,1,17,7876
电磁辐射,1,0,0
卖乖,1,4,374
贪官,1,13,2807
念旧,1,11,2495
打井,1,18,7433
工作队,1,4,584
一体化,1,0,0
"单幅, 丹弗",2,20,15744
认同感,1,0,0
明理,1,19,9947
氰酸,1,6,436
破脸,1,7,1182
晚钟,1,11,8513
无烟火药,1,0,0
书报,1,17,3432
别出心裁,1,0,0
肉牛,1,5,429
爱尔兰共和国,1,0,0
自助式,1,0,0
三五年,1,0,0
姨母,1,6,1254
惆怅,1,9,977
一呼百应,1,0,0
感怀,1,8,25315
甲级,1,17,9757
土屋,1,3,946
工程部,1,0,0
过奖,1,9,1305
本年,1,12,7032
盐都,1,5,2015
古典主义,1,0,0
麻醉针,1,0,0
紫红,1,6,1009
该镇,1,2,553
混纺,1,4,925
胆结石,1,0,0
踉踉跄跄,1,0,0
换汤不换药,1,0,0
"石工, 石弓",2,35,50576
架空,1,8,1774
牧群,1,6,4168
下旬,1,19,14970
皮下组织,1,0,0
树冠,1,13,2303
漏电,1,12,1909
礼炮,1,11,18748
想得开,1,0,0
兑换率,1,0,0
开荒,1,19,15223
俏丽,1,37,13544
普天之下,1,0,0
商业性,1,0,0
品评,1,9,2826
文绉绉,1,0,0
言谈举止,1,0,0
发奖,1,10,4488
话柄,1,7,1166
阿比让,1,0,0
艺术类,1,0,0
卡宾枪,1,0,0
结肠炎,1,0,0
私用,1,20,2786
核导弹,1,0,0
财产税,1,0,0
"旋梯, 悬梯",2,3,941
白矮星,1,0,0
图瓦卢,1,0,0
独具慧眼,1,0,0
铁路线,1,0,0
亮度,1,17,6182
黄土,1,5,716
利己主义,1,0,0
安享晚年,1,0,0
肥美,1,4,4677
难友,1,17,5315
富川,1,19,16292
判明,1,23,12693
"辞行, 词形",2,29,7341
导护,1,12,11943
练功,1,15,3886
百分之二十五,1,0,0
厄立特里亚,1,0,0
一万三千五,1,0,0
怀孕期,1,0,0
摇撼,1,5,3097
白皮书,1,0,0
妇产医院,1,0,0
夺眶而出,1,0,0
线团,1,8,2973
恭顺,1,32,38473
摩托罗拉,1,0,0
"猩红, 腥红",2,6,5484
驼毛,1,9,1011
同岁,1,10,13534
木船,1,11,4494
洪水猛兽,1,0,0
新都,1,17,4697
众口,1,12,4144
塞岛,1,11,1749
乒乒乓乓,1,0,0
必得,1,4,1057
化合,1,21,25621
逆耳,1,8,1097
"奥菲丽亚, 奥菲莉娅, 奥菲莉亚, 奥菲利娅, 奥菲利亚",5,0,0
阔别,1,9,8879
伊普斯威奇,1,0,0
便帽,1,21,6083
认生,1,26,11603
"织成, 之城, 芝城",3,24,24800
一排排,1,0,0
大通,1,26,25387
大煞风景,1,0,0
标号,1,10,2410
俊秀,1,1,61
"唐璜, 堂皇, 堂璜",3,5,386
教育者,1,0,0
水土,1,10,1845
宗族,1,4,2136
假山,1,7,2468
白嫩,1,3,1104
齐步,1,31,21729
盘桓,1,4,1242
六十九,1,0,0
罗圈腿,1,0,0
紧接,1,4,5153
"中放, 钟放",2,17,3787
功放,1,34,38977
感叹词,1,0,0
笑靥,1,22,8540
补药,1,13,33595
卫生球,1,1,45
武打,1,7,801
红墨水,1,0,0
心灵手巧,1,0,0
更新换代,1,0,0
初夏,1,40,58788
修正主义,1,0,0
参看,1,11,2242
矿脉,1,6,912
看破,1,14,64695
讨饭,1,11,12903
浑圆,1,15,7872
加演,1,20,21260
习作,1,10,6612
花红,1,6,1533
临到,1,25,38918
网膜,1,11,3910
工长,1,23,8910
群芳,1,6,1412
浓烟滚滚,1,0,0
文娱,1,7,1177
输者,1,10,756
歌舞升平,1,0,0
若有所思,1,0,0
个展,1,0,0
拉帮结派,1,0,0
寒窗,1,1,104
长兄,1,4,11700
无可非议,1,0,0
拼版,1,5,937
多灾多难,1,0,0
咸兴,1,7,3195
坑坑洼洼,1,0,0
舍去,1,5,7457
迎新会,1,0,0
袒露,1,16,2743
检验室,1,0,0
侮蔑,1,20,14498
正版,1,15,7644
纪念币,1,1,304
恻隐之心,1,0,0
灵猫,1,6,911
折桂,1,4,589
雷动,1,10,11099
河口,1,18,4798
蜜橘,1,8,947
织品,1,9,1213
"西玛, 希玛",2,14,3127
门楣,1,10,4772
武斗,1,23,14502
树阴,1,10,1697
塘边,1,8,3140
外间,1,18,3828
全国委员会,1,0,0
圆规,1,13,11123
革命家,1,0,0
原子结构,1,0,0
虔敬,1,30,9412
散射,1,10,3007
牵强附会,1,0,0
荒僻,1,7,1316
费加罗,1,0,0
停车处,1,1,79
糙米,1,3,863
没说的,1,0,0
热辣辣,1,0,0
本相,1,30,23279
千家万户,1,0,0
量子论,1,0,0
增设,1,12,4025
玉女,1,15,5002
答疑,1,7,5440
玉玺,1,20,9876
主要矛盾,1,0,0
一品,1,18,57281
缝缝,1,3,466
香港脚,1,0,0
百战不殆,1,0,0
再就是,1,0,0
乌龙茶,1,0,0
"制式, 志士",2,94,176005
久已,1,11,117951
玉米粥,1,0,0
鹿死谁手,1,0,0
水波,1,9,882
绒线,1,27,13218
写信人,1,0,0
"盈盈, 营营",2,4,2793
树蛙,1,4,436
可怜相,1,0,0
修改稿,1,0,0
庄园主,1,0,0
巨幅,1,28,12529
奋发,1,12,1906
"爱怜, 艾莲",2,6,2930
抢点,1,14,8920
钱庄,1,13,4568
斋月,1,13,6854
薄冰,1,6,737
转正,1,19,12425
列国,1,13,5023
依从,1,17,37921
气旋,1,10,2263
支配权,1,0,0
困倦,1,5,1797
棍儿,1,4,5412
鞍前马后,1,0,0
按捺不住,1,0,0
"胸像, 凶相",2,20,18740
青鸟,1,11,12953
视窗,1,15,3762
贸易额,1,0,0
招兵,1,8,1708
核反应,1,0,0
信用证,1,0,0
卡玛,1,6,1553
长卷,1,18,3629
水貂,1,9,882
"弗来德, 弗莱德, 佛莱得, 福莱德",4,0,0
豢养,1,13,4258
唱段,1,8,2732
讴歌,1,9,5253
苏丹人,1,0,0
发送者,1,0,0
正逢,1,11,15725
免检,1,5,535
上高,1,22,10725
政治权利,1,0,0
表面积,1,0,0
次等,1,5,316
主将,1,16,11281
更迭,1,1,88
春雨,1,5,1459
难找,1,12,6641
上几千,1,0,0
南欧,1,13,3596
风向标,1,0,0
失宠,1,8,5975
"融会贯通, 融汇贯通",2,0,0
这一下,1,0,0
无机物,1,0,0
油烟,1,9,3039
教学法,1,0,0
司令员,1,0,0
软垫,1,8,3685
以此类推,1,0,0
雍容华贵,1,0,0
传输线,1,0,0
第三十三,1,0,0
拖布,1,20,5397
安居,1,6,980
冷不防,1,0,0
铁路桥,1,0,0
历史学,1,0,0
语境,1,12,7697
闭幕式,1,0,0
熟稔,1,3,1422
青苔,1,13,2843
保修期,1,0,0
"每期, 美琪, 美琦",3,12,19297
交汇点,1,0,0
神曲,1,4,576
前日,1,20,6666
个私,1,0,0
血肉相连,1,0,0
肠梗阻,1,0,0
高僧,1,17,3252
尾音,1,10,2651
昆布,1,15,4946
发展署,1,0,0
代售,1,18,6419
不远千里,1,0,0
沽名钓誉,1,0,0
签字笔,1,0,0
放射源,1,0,0
范式,1,79,151273
二线,1,17,4034
预算案,1,0,0
娶亲,1,4,8440
引航,1,12,6876
昏花,1,7,3159
出资人,1,0,0
"克伦, 客轮",2,10,4675
馆内,1,8,2529
接收站,1,1,68
智勇双全,1,0,0
捆扎,1,0,0
过电影,1,0,0
刀鞘,1,3,187
兴衰,1,3,948
腹背受敌,1,0,0
谈天说地,1,0,0
焦黑,1,9,2340
治标,1,11,7404
布施,1,29,15792
烘制,1,14,4402
石塔,1,10,1623
"浓浓, 农农",2,1,245
婶子,1,41,17353
工日,1,35,43178
人才辈出,1,0,0
"维佛, 韦佛, 维芙, 韦弗",4,21,2654
龙舞,1,4,1003
公安局,1,0,0
喜结良缘,1,0,0
清泉,1,15,12501
马刀,1,9,1399
隔岸观火,1,0,0
啼笑皆非,1,0,0
风能,1,15,7841
卡纳克,1,0,0
冷言冷语,1,0,0
必败,1,15,9042
乌黑,1,7,1353
"马蒂, 玛蒂, 马弟, 马帝",4,22,16304
霸气,1,26,33240
渗水,1,14,1495
长野,1,7,865
行商,1,9,1220
"格登, 葛登",2,7,626
生物战,1,0,0
试飞员,1,0,0
货款,1,12,24100
脑血栓,1,0,0
订货单,1,0,0
苦活,1,2,332
重于泰山,1,0,0
骑墙,1,10,7830
红蜘蛛,1,0,0
角膜炎,1,0,0
正酣,1,7,1297
铅块,1,17,6505
巴塞尔,1,0,0
联动,1,18,19403
踢皮球,1,0,0
弄堂,1,5,2568
样书,1,7,3084
膝关节,1,0,0
农工,1,22,12730
测试仪,1,0,0
摊贩,1,8,3404
冷艳,1,16,13470
"棕树, 综述",2,18,3551
甄别,1,16,6948
小燕子,1,0,0
法国队,1,0,0
大礼服,1,1,92
裘皮,1,12,1571
吹风会,1,0,0
"多级, 多极",2,38,14307
功成身退,1,0,0
相斥,1,22,29655
中山,1,17,11940
三明,1,23,13310
童趣,1,15,22107
执拗,1,20,10250
难民署,1,0,0
殖民主义,1,0,0
叹服,1,18,6897
肉弹,1,14,8571
同路人,1,0,0
互不相让,1,0,0
阿拉伯沙漠,1,0,0
"芭芭, 巴巴, 八八",3,5,1371
路沿,1,11,1797
敲竹杠,1,0,0
怒骂,1,3,203
售票机,1,1,52
"一无, 伊芜",2,18,37948
头油,1,17,3249
简明,1,14,12446
糖水,1,13,1810
非亲非故,1,0,0
频谱,1,4,682
铁蹄,1,4,1119
土话,1,19,4664
莎草,1,6,6189
"议政, 义政",2,39,21221
唱主角,1,0,0
山珍海味,1,0,0
椰子汁,1,0,0
文学社,1,0,0
无头案,1,0,0
洋人,1,31,34641
前驱,1,13,3079
遗产税,1,0,0
通奸罪,1,0,0
钻塔,1,0,0
奶油色,1,0,0
直流电,1,0,0
波光,1,14,2434
佛法,1,11,17039
入耳,1,12,1959
超高压,1,0,0
尼加拉瓜人,1,0,0
殊不知,1,0,0
沁,1,306,7175210
林立,1,36,16540
钢质,1,14,32711
枯树,1,18,2828
饮食店,1,0,0
微生物学,1,0,0
短衣,1,7,1316
宰相,1,19,20639
"冷杉, 冷山",2,4,500
热土,1,6,1046
温软,1,2,650
标尺,1,7,3274
络绎不绝,1,0,0
审计局,1,0,0
经血,1,21,9474
可见光,1,0,0
不孕症,1,0,0
联合王国,1,0,0
和和气气,1,0,0
悔棋,1,5,657
都城,1,14,3875
铁环,1,3,430
"勉励, 勉力",2,31,17527
"克莉丝汀, 克莉斯汀, 克丽丝汀, 克利斯汀",4,0,0
全篇,1,9,4196
抗诉,1,18,64326
象牙海岸,1,0,0
结拜,1,23,21328
结社,1,21,20481
散装,1,7,2971
一九一二年,1,0,0
轻车熟路,1,0,0
单极,1,40,16550
喜气洋洋,1,0,0
烧肉,1,6,2497
"秋叶, 秋夜",2,11,4266
白磷,1,9,3639
橙黄色,1,0,0
月相,1,7,2848
先期,1,17,6037
肺痨,1,10,2667
负两,1,13,8170
"玛格丽特, 玛格利特, 马格利特, 马格莉特",4,0,0
湍,1,277,3220904
电脑房,1,0,0
下半时,1,0,0
伤风败俗,1,0,0
"油泥, 尤妮",2,10,2808
天兵,1,12,2993
余热,1,2,460
集邮册,1,0,0
横祸,1,11,1884
排放量,1,0,0
烧火,1,12,16267
"饱经, 宝京",2,8,60325
深化,1,34,27110
二百三十万,1,0,0
火焰山,1,0,0
低价位,1,0,0
寡居,1,2,133
低收入者,1,0,0
冬奥会,1,0,0
一扇扇,1,0,0
全省,1,8,1459
善忘,1,13,2127
七分之一,1,1,117
食古不化,1,0,0
透视图,1,0,0
言传身教,1,0,0
烤红薯,1,0,0
织锦,1,9,1547
堪称一绝,1,0,0
排定,1,14,12478
"格瑞斯, 葛瑞丝, 葛瑞斯, 格瑞丝",4,0,0
音乐片,1,2,709
肉松,1,4,4235
逢迎,1,2,241
"芸芸, 云云",2,1,58
股息,1,14,4827
甲骨文,1,0,0
套鞋,1,1,266
血常规,1,0,0
郑重其事,1,0,0
血吸虫,1,0,0
小产,1,11,12778
张狂,1,5,5245
软塌塌,1,0,0
石松,1,20,38270
七大,1,11,2535
译本,1,8,4122
耍贫嘴,1,0,0
寝食,1,19,18849
联在,1,16,20132
催产,1,5,1686
耳际,1,13,16649
虚线,1,17,73930
窑子,1,52,87405
汗马功劳,1,0,0
射流,1,17,3062
血污,1,8,2554
花木,1,14,1649
工科,1,15,16905
压力计,1,0,0
试行,1,42,61975
零用,1,16,6093
底边,1,16,3311
栈道,1,45,60561
水污染,1,0,0
琼浆,1,4,1476
黄褐色,1,0,0
总领事馆,1,0,0
碧水,1,18,2552
热望,1,17,3601
仰天,1,6,7682
黄沙,1,9,5964
断肢,1,9,3051
裁断,1,14,4069
结怨,1,27,22609
道不明,1,0,0
佝偻病,1,0,0
冬衣,1,17,44519
悲喜,1,12,7083
沾边儿,1,0,0
补交,1,5,698
穿堂风,1,0,0
快慢,1,11,11391
"理查, 李察, 理察, 李查",4,15,21656
姑母,1,3,222
试用品,1,0,0
圣上,1,28,17301
灭绝人性,1,0,0
感慨万千,1,0,0
单被,1,12,2947
结仇,1,9,2588
病案,1,24,3555
四季豆,1,0,0
强身,1,13,3576
套取,1,7,994
"惊羡, 经线",2,30,41675
盈亏,1,4,897
偷电,1,13,2908
暗流,1,16,2200
空气锤,1,0,0
果子露,1,0,0
低热,1,9,1345
病秧子,1,0,0
日本海,1,0,0
批改,1,3,1136
配电盘,1,0,0
路透社,1,0,0
起兵,1,9,1598
上解,1,21,4299
老父亲,1,0,0
病况,1,12,3180
消夜,1,21,6613
科巴,1,2,369
磁体,1,15,4274
胸怀大志,1,0,0
联络部,1,0,0
一清早,1,0,0
繁茂,1,5,569
消弭,1,7,1443
赤膊上阵,1,0,0
坎帕拉,1,0,0
草料,1,5,1385
消夏,1,26,33914
估价师,1,0,0
外交大臣,1,0,0
忠言,1,26,7813
"索尼娅, 索尼亚, 索妮亚, 索妮娅",4,1,52
追授,1,11,9736
佣工,1,11,1362
"七百五十, 七佰五十",2,0,0
动人心弦,1,0,0
欢天喜地,1,0,0
"黛兰, 戴兰, 岱兰, 戴蓝",4,7,5040
战情,1,20,35822
苯甲酸,1,0,0
新干线,1,0,0
专横跋扈,1,0,0
錾刀,1,4,280
腾空而起,1,0,0
见天,1,11,8838
洗冤,1,3,46313
鱼肝油,1,0,0
一墙之隔,1,0,0
金融业,1,0,0
总工程师,1,0,0
圣萨尔瓦多,1,0,0
异同,1,16,10066
地震波,1,0,0
鼓风,1,10,1886
内设,1,20,5492
事体,1,27,17938
暗潮,1,7,1278
现代主义,1,0,0
此法,1,10,5986
出典,1,33,31237
成熟期,1,0,0
"决然, 绝然",2,6,7837
荨麻疹,1,0,0
"西斯, 希斯, 西丝, 希思",4,18,15217
受敌,1,5,737
邀请书,1,1,47
赔礼,1,15,5452
村委会,1,0,0
三十一,1,0,0
扑粉,1,1,61
两万八,1,0,0
增长率,1,0,0
馅儿饼,1,0,0
倒腾,1,4,1157
"钎子, 扦子",2,35,16201
公分母,1,0,0
投标人,1,1,76
不解之缘,1,0,0
华盖,1,6,669
镶牙,1,11,3091
一唱一和,1,0,0
遮荫,1,1,162
全歼,1,16,44467
焦痕,1,13,2808
田七,1,4,1025
老办法,1,0,0
企业主,1,0,0
孔洞,1,23,12197
归隐,1,7,3774
一二年,1,0,0
国贼,1,5,2337
恢宏,1,3,370
